,state,city,occupation,salary,cpi_index,rent_index,restaurant_price_index,groceries_index,cpi_single,cpi_family,rent_single,rent_family,groceries_single,groceries_family,restaurant_single,restaurant_family,col_single,col_family,ds_single,ds_family
13,Colorado,Boulder,"Data Scientist, IT",72851.03,83.56811285243057,49.11190163804592,78.8156421668809,76.48397106999454,1635.7121001057646,4762.939521590425,1223.5198943184744,2293.150100449214,216.9773775284675,1084.8715908481236,627.2385250566883,1864.147568531067,2859.231994424239,7056.089622039639,3211.6871722424276,-985.1704553729724
14,Colorado,Denver,"Data Scientist, IT",79984.8,82.24460539693588,49.1968956325605,77.46174636067781,76.75220278947548,1609.8065592763846,4687.5066112167415,1225.6373412044165,2297.1186697889866,217.73832409346298,1088.676270026757,616.4638160621822,1832.1252249227514,2835.443900480801,6984.6252810057285,3829.9560995191996,-319.225281005728
15,District of Columbia,Washington,"Data Scientist, IT",79280.37,93.83634559822664,49.001171262082345,90.28887282345134,81.85147954822261,1836.6963269323294,5348.174366467249,1220.7612795351313,2287.979838979091,232.20446233035273,1161.005941355854,718.5459365908728,2135.512420020271,3057.4576064674607,7636.154205446339,3549.2398935325386,-1029.4567054463396
16,Georgia,Atlanta,"Data Scientist, IT",87428.57,77.71819818483186,38.340279997615184,77.09035741323258,68.85490600376602,1521.2093803509879,4429.525390085037,955.1675615525874,1790.1977727466476,195.33448284208382,976.6586432292183,613.5081914017288,1823.3411335377768,2476.3769419035752,6219.723162831684,4809.337224763092,1065.9910038349835
17,Illinois,Chicago,"Data Scientist, IT",79423.2,72.0800193387128,38.40569680137786,80.15356358084706,70.24112303111409,1410.851050524361,4108.179078204134,956.7972838430464,1793.2522370438157,199.26704192696755,996.3211614102315,637.8861050454552,1895.7920858141947,2367.648334367407,5901.43131524795,4250.951665632592,717.1686847520496
18,Indiana,Indianapolis,"Data Scientist, IT",64000.0,77.09005070907453,28.785402910569278,73.70217324329832,66.64775020181283,1508.9143985489993,4393.72431314849,717.1278641707214,1344.0581075913196,189.0730025475228,945.3516831875737,586.5440053221411,1743.2038015504918,2226.042262719721,5737.78242073981,3107.291070613612,-404.4490874064768
19,Massachusetts,Boston,"Data Scientist, IT",87729.95,88.51477910472865,51.45323559551491,83.13009764081704,78.68095637452454,1732.5351773284956,5044.873280640278,1281.8493130675035,2402.472485058241,223.21000513888868,1116.0342895031686,661.5742560549144,1966.1930694006046,3014.384490395999,7447.345765698519,4296.4446762706675,-136.51659903185282
20,Massachusetts,Cambridge,"Data Scientist, IT",80000.0,86.28076153360847,49.44702944896693,81.8847113033784,79.50588105854456,1688.807857801932,4917.546119379555,1231.8688999591682,2308.798005491471,225.55023397498505,1127.7352686987135,651.6630979656763,1936.7371917475057,2920.6767577611,7226.344124871026,3745.989908905567,-559.677458204359
21,Missouri,Kansas City,"Data Scientist, IT",90000.0,71.09451149595073,31.066225183236007,70.25415549140264,67.67981059715868,1391.561311314842,4052.010354358263,773.9497613674403,1450.55505943447,192.00085468307944,959.9907374532778,559.1036456472297,1661.651285682655,2165.5110726822822,5502.565413792733,5334.488927317718,1997.4345862072669
22,Missouri,St. Louis,"Data Scientist, IT",88982.67,69.69506440062858,24.833293286122544,70.75903068843351,61.24222833918994,1364.1693735392635,3972.249286994506,618.6693523078422,1159.524821768284,173.73807757544793,868.6781394315719,563.1215939277604,1673.5925938428293,1982.8387258471057,5131.77410876279,5432.383774152894,2283.4483912372098
23,Minnesota,Minneapolis,"Data Scientist, IT",85134.35,85.70912680896663,38.80748941796104,80.43345599501248,72.43948417989097,1677.6190226826272,4884.965969739011,966.8071031207215,1812.0128785247334,205.50357266993268,1027.5033754528274,640.1135728451079,1902.4121011940351,2644.426125803349,6696.978848263744,4450.103040863318,397.55031840292304
