,state,city,crime_index,traffic_time_index,cpi_and_rent_index,purchasing_power_incl_rent_index,restaurant_price_index,property_price_to_income_ratio,climate_index,safety_index,traffic_co2_index,cpi_index,traffic_inefficiency_index,quality_of_life_index,rent_index,health_care_index,traffic_index,groceries_index,pollution_index
20,Massachusetts,Cambridge,18.861607142857142,26.125,65.21566479725833,84.61744329822834,94.85640676964714,11.369911504424778,90.70865060822159,81.13839285714286,3990.0,82.24687429485185,104.39692802500242,173.421172927432,46.9315495555705,71.1139169472503,104.75319738446925,66.65015781265804,28.192497158014397
21,Missouri,Kansas City,60.11739299797232,25.94117647058824,49.90659683349371,120.53300611331564,63.0410346549521,1.7429314452334919,75.08058087450975,39.882607002027676,6869.058823529412,69.0742529983926,107.51358617704165,179.69131013388244,29.32886662111043,72.42063492063491,124.36567038692722,68.17203640179345,20.894909688013136
22,Missouri,St. Louis,66.93816073754164,30.466666666666665,51.15256763961765,129.39512524368752,68.14452328174829,1.8897621827159128,76.90714745860183,33.061839262458356,6563.733333333333,70.75763372615465,191.5992140193054,172.46451320485616,30.10524932098627,79.85449735449737,136.80168223717956,71.32932251845338,33.19102353585112
23,Minnesota,Minneapolis,49.12326388888889,33.0,64.27799533226315,123.77730288756928,75.87968615640895,2.47971798789032,51.46452033339025,50.876736111111114,6747.894736842104,81.46918023556803,204.71433147551602,175.75489330557332,45.8221360488926,81.0076222911472,147.286118147684,87.47665704270783,20.21809634639249
24,North Carolina,Charlotte,41.55804367201426,41.43333333333333,58.601986467450274,91.09573951383705,73.87210543773391,3.186801072153746,84.02517923869127,58.44195632798574,10037.066666666668,75.34894416597277,249.4980829493154,165.3479016048158,40.62303408883487,75.64102564102566,202.78289373442524,79.39854146247272,29.40437869300644
25,North Carolina,Raleigh,28.12028133903133,31.535714285714285,55.01322831714555,124.04178986378349,70.57976308322341,2.5220158705596356,83.6561645619811,71.87971866096866,7255.785714285716,71.39752169845075,155.0521924273153,198.4949338999085,37.42361975882584,78.22712418300654,143.1702964517996,78.31960723420673,20.50275282526804
26,New York,New York,44.412341082532905,44.39491525423728,100.0,100.0,100.0,9.908000040016157,81.12881171825434,55.58765891746708,3694.461016949153,100.0,176.98153691419296,130.8182900418326,100.0,63.55685471701628,175.1271235570079,100.0,56.00364131398614
27,Ohio,Cincinnati,48.236507591031284,33.13333333333333,50.79270237500522,113.11927291352707,70.39887737906119,2.0169577293637904,73.24468234524991,51.763492408968716,7377.0666666666675,69.12390898299181,156.79512814610618,167.97580745117938,31.112955367784448,71.22685185185185,149.74487390047545,61.601019440731385,35.4763148728666
28,Ohio,Cleveland,64.34294323572341,38.214285714285715,51.706303188626116,132.63080888815045,74.69543499815535,0.8447617597753205,71.86801285648475,35.6570567642766,9077.57142857143,73.46564554578923,203.33222649660047,167.2792153083481,28.34622865616705,78.8888888888889,181.71047563153263,67.51883258119405,36.70224411603722
29,Oregon,Portland,44.41372963659147,31.42028985507246,65.56648405479744,120.05510373455172,68.38699511380332,4.2509837987302435,89.55747164859804,55.58627036340853,6764.550724637681,78.46366523796662,140.6075294458914,178.824175564673,51.720518089825106,66.35177687809266,139.24188972797143,79.56387160531736,26.59551095664289
